model_label,response,predictor,n_species,beta_l95,beta_med,beta_u95,OR_l95,OR_med,OR_u95,max_rhat,n_median,VIF_l95,VIF_med,VIF_u95
mass_only,NeoplasiaCases,mass_s,229,0.09242282,0.272195256,0.445516216,1.096828485,1.312843317,1.561295954,1.00098604,35,5.444051815,6.236900122,7.24498395
mass_only,MalignancyCases,mass_s,229,0.028079608,0.228161715,0.425400482,1.028477557,1.25628847,1.530203116,1.00105409,35,5.484336749,6.313201198,7.384570571
longevity_only,NeoplasiaCases,longevity_s,210,-0.040665572,0.123164113,0.295990685,0.960150178,1.131070029,1.344457635,1.000425749,35,5.539779676,6.380754046,7.422739488
longevity_only,MalignancyCases,longevity_s,210,-0.067998653,0.112634847,0.299109168,0.934261732,1.11922317,1.348656847,1.001309831,35,5.489592149,6.342926544,7.434164341
gestation_only,NeoplasiaCases,gestation_s,151,-0.292748995,-0.039425516,0.184852579,0.746209422,0.961341557,1.203041078,1.001149976,35,5.736591993,6.672575544,7.867268824
gestation_only,MalignancyCases,gestation_s,151,-0.309520025,-0.033818102,0.21662664,0.733799079,0.966747338,1.241880347,1.003149951,35,5.684420701,6.658734535,7.973979146
all_three,NeoplasiaCases,mass_s,133,0.024747313,0.269079694,0.524165225,1.025056069,1.308759438,1.689048284,1.002312045,35,5.622410191,6.539814361,7.733331435
all_three,NeoplasiaCases,longevity_s,133,-0.170280622,0.078098762,0.337940473,0.843428106,1.081229437,1.402057041,1.002312045,35,5.622410191,6.539814361,7.733331435
all_three,NeoplasiaCases,gestation_s,133,-0.713333304,-0.345335065,-0.023035459,0.490008157,0.707983094,0.977227832,1.002312045,35,5.622410191,6.539814361,7.733331435
all_three,MalignancyCases,mass_s,133,-0.075269951,0.191623992,0.479959167,0.927493075,1.211215005,1.616008414,1.001086537,35,5.698303302,6.656282002,7.976738242
all_three,MalignancyCases,longevity_s,133,-0.18378811,0.098987768,0.391642511,0.832112102,1.104052795,1.479408749,1.001086537,35,5.698303302,6.656282002,7.976738242
all_three,MalignancyCases,gestation_s,133,-0.684805873,-0.303247806,0.065373083,0.504188097,0.73841609,1.067557239,1.001086537,35,5.698303302,6.656282002,7.976738242
